"Carimbo de data/hora","1. Qual a sua faixa etária?","2. Qual seu sexo?","3. Qual seu nível de escolaridade?","4. Selecione abaixo os seus gêneros literários preferidos:","5. Quantos livros, em média, você lê por ano?","6. Qual é a sua forma preferida de leitura?","7. Em que tipo de ambiente você costuma ler?","8. Qual é o seu maior obstáculo para ler um livro? (Dificuldades e limitações)","9. O que a leitura pode contribuir/contribuiu para você?","10. Qual foi o seu primeiro contato com a leitura?","PERGUNTA EXTRA
O que você sugere para melhorar a experiência do leitor com os livros e bibliotecas?"
"2024/02/19 11:45:48 AM GMT-3","22 - 24 anos","Feminino","Ensino Superior Completo ou Cursando","Romance;Fantasia;Suspense;Ficção científica","11 a 15 livros","Livro físico;E-Book;Áudio book","Em casa;Ambiente escolar, como biblioteca, escola, faculdade, ...;Transporte público","Tempo","Contribuiu na forma de pensar, na empatia, no amor, no cuidar ","Na escola",""
"2024/02/19 12:33:38 PM GMT-3","17 - 21 anos","Masculino","Ensino Superior Completo ou Cursando","Romance;Fantasia;Suspense;Ficção científica;História;Mangás 🤓","1 a 5 livros","Livro físico;E-Book","Em casa;Transporte público","tenho dificuldade em encontrar obras que me prendam e chamem atenção (exceto mangás)","contribuiu com minhas habilidades de escrita, ampliou meu vocabulário, estimula ativamente minha criatividade e me mantém entretido ","Em casa",""
"2024/02/19 1:06:03 PM GMT-3","22 - 24 anos","Masculino","Ensino Superior Completo ou Cursando","Fantasia;Ficção científica","1 a 5 livros","Livro físico","Em casa;Transporte público","Preguiça ","despertar a criatividade e ajudar a ocupar a mente","Em casa",""
"2024/02/19 1:13:30 PM GMT-3","17 - 21 anos","Masculino","Ensino Superior Completo ou Cursando","Fantasia;Ficção científica;História","6 a 10 livros","Livro físico;E-Book","Em casa;Ambiente escolar, como biblioteca, escola, faculdade, ...","Tempo ","Distração conhecimento ","Em casa",""
"2024/02/19 3:47:32 PM GMT-3","17 - 21 anos","Feminino","Ensino Superior Completo ou Cursando","Romance;Suspense;Autoajuda;Biografia;Drama","1 a 5 livros","Livro físico;E-Book","Em casa","Rotina corrida, então quando paro para ler um livro tenho a sensação de ""estar perdendo tempo"", pois deveria estar fazendo alguma outra tarefa. ","Através da leitura eu consigo entender pontos de vista diferentes, novas vivências, conhecer melhor outras culturas e melhorar minha escrita e repertório argumentativo.","Em casa","Disponibilizar livros solicitados por alunos ou que estão na lista dos livros mais vendidos."
"2024/02/19 4:41:50 PM GMT-3","Mais de 25 anos","Masculino","Ensino Superior Completo ou Cursando","Fantasia;Ficção científica;História","1 a 5 livros","Livro físico","Em casa;Ambiente de Trabalho","Atenção ","Imaginação e conhecimento ","Em casa",""
"2024/02/19 5:07:26 PM GMT-3","17 - 21 anos","Masculino","Ensino Superior Completo ou Cursando","Fantasia","1 a 5 livros","Livro físico","Em casa","Ser distraido por outras coisas, como celular e redes sociais.","Aprendendizado, entreterimento, leveza.","Em casa","No lugar do Ifood, quero o Ilivro de bibliotecas."
"2024/02/20 9:16:34 AM GMT-3","22 - 24 anos","Masculino","Ensino Superior Incompleto","Romance;Fantasia","1 a 5 livros","Livro físico","Em casa;Ambiente escolar, como biblioteca, escola, faculdade, ...","Preguiça","Altas histórias kk","Na escola","Mais bibliotecas"
"2024/02/20 9:56:18 AM GMT-3","17 - 21 anos","Masculino","Ensino Superior Completo ou Cursando","Romance;Fantasia;Ficção científica","6 a 10 livros","Livro físico","Em casa;Locais públicos, como praças, cafeterias, ...;Ambiente escolar, como biblioteca, escola, faculdade, ...;Transporte público","Livros técnicos, termos complicados ","Repertório, ideias, criatividade, imaginação, pensamentos críticos e etc ","Em casa","Ambiente propício, e maior variedade de livros "
"2024/02/21 8:22:29 AM GMT-3","17 - 21 anos","Masculino","Ensino Superior Completo ou Cursando","Não gosto de ler ","Nenhum","Áudio book","Não leio","Atenção","Vocabulário","Na escola","Não sei"
