"Carimbo de data/hora","1. Qual a sua faixa etária?","2. Qual seu sexo?","3. Qual seu nível de escolaridade?","4. Selecione abaixo os seus gêneros literários preferidos:","5. Quantos livros, em média, você lê por ano?","6. Qual é a sua forma preferida de leitura?","7. Em que tipo de ambiente você costuma ler?","8. Qual é o seu maior obstáculo para ler um livro? (Dificuldades e limitações)","9. O que a leitura pode contribuir/contribuiu para você?","10. Qual foi o seu primeiro contato com a leitura?","PERGUNTA EXTRA
O que você sugere para melhorar a experiência do leitor com os livros e bibliotecas?"
"2024/02/23 10:35:42 AM GMT-3","17 - 21 anos","Masculino","Ensino Superior Completo ou Cursando","Fantasia;Suspense;Ficção científica;História;Mangás ou Histórias em Quadrinhos","6 a 10 livros","Livro físico;E-Book","Em casa;Ambiente escolar, como biblioteca, escola, faculdade, ...","tempo e dinheiro","desenvolvimento como ser humano e profissional, entretenimento, incentiva o pensamento criativo","Em casa",""
"2024/02/23 2:35:06 PM GMT-3","17 - 21 anos","Feminino","Ensino Superior Incompleto","Romance;Fantasia;Suspense;Ficção científica;Mangás ou Histórias em Quadrinhos;Drama; Mitologia Grega; Ficção Juvenil; Ficção Gótica; Terror; Literatura Fantástica;","1 a 5 livros","Livro físico;E-Book","Em casa;Ambiente escolar, como biblioteca, escola, faculdade, ...;Ambiente de Trabalho","Ressaca literária (por/depois de um longo período), preguiça, gênero diferente do que eu costumo ler (então demoro para retomar a leitura)","Vocabulário, criatividade, expansão da imaginação, aumento de pensamento nas possibilidades e raciocínio em determinadas situações ","Na escola","Atendimento dos funcionários e o ambiente/espaço físico. Acredito que cada biblioteca tem (e deve ter) o seu próprio estilo, ela decidindo acompanhar e evoluir com a tecnologia ou não. Mas nada me tira o gosto e prazer de entrar em um lugar e rever os ornamentos e a estrutura como se fosse a primeira vez - em um lugar antigo, e ver muitos livros amontoados e enfileirados me convidando a vê-los por muito tempo. Talvez eu goste de algo mais tradicional, como o cheiro de um livro velho no meio de tantos livros novos."
"2024/02/27 5:47:27 PM GMT-3","17 - 21 anos","Masculino","Ensino Superior Completo ou Cursando","Romance;Fantasia;Suspense;Ficção científica;Mangás ou Histórias em Quadrinhos","1 a 5 livros","Livro físico","Em casa;Ambiente escolar, como biblioteca, escola, faculdade, ...","Concentração","Vocabulário e ideias ","Em casa","Tempo de uso expandido e perdoar dividida de anos que estudantes fizeram"
"2024/02/27 5:50:26 PM GMT-3","22 - 24 anos","Masculino","Ensino Superior Completo ou Cursando","Suspense;Ficção científica;História;Mangás ou Histórias em Quadrinhos","1 a 5 livros","Livro físico","Em casa;Locais públicos, como praças, cafeterias, ...","Não ter o livro físico primeiramente, e segundo ficar engajado na leitura","Vocabulário, formas de contar uma história, descrever melhores situações, desenvolvimento de personagens e abrangiu mais meus gostos literários e me apaixonar pelo terror cósmico","Na escola","Um café seria bala"
"2024/02/27 6:00:58 PM GMT-3","Mais de 25 anos","Feminino","Ensino Superior Completo ou Cursando","Romance;Fantasia;Suspense","1 a 5 livros","Livro físico","Em casa;Transporte público","tempo de qualidade sem distrações","quando eu era mais nova me ajudou muito a me desenvolver, principalmente no português e na questão do raciocínio logico, interpretação de texto e outros aspectos. Eu costumava ler bastante entre 9 - 16 anos. Principalmente no ensino médio quando não tinha a rotina de trabalhar, depois que a gente tem dupla jornada fica mais dificil. E durante a primeira graduação, lia bastante também, mas sempre livros técnicos e artigos. ","Na escola","Incentivar as pessoas, despertar mais o interesse através de divulgação, pouco se fala hoje em dia sobre leitura"
"2024/02/27 6:01:14 PM GMT-3","Mais de 25 anos","Feminino","Ensino Superior Completo ou Cursando","Romance;Fantasia;Ficção científica;Biografia;História","6 a 10 livros","E-Book","Em casa;Ambiente escolar, como biblioteca, escola, faculdade, ...;Transporte público","Tempo","Em tudo","Em casa","Fones abafadores de ruído"
"2024/02/27 6:03:11 PM GMT-3","17 - 21 anos","Masculino","Ensino Superior Completo ou Cursando","Fantasia","1 a 5 livros","Livro físico","Em casa;Ambiente escolar, como biblioteca, escola, faculdade, ...","Esquecer o que tava em cima ","Criatividade ","Em casa",""
"2024/02/27 6:04:03 PM GMT-3","17 - 21 anos","Masculino","Ensino Superior Incompleto","Romance;Fantasia;Suspense;Ficção científica;Mangás ou Histórias em Quadrinhos","1 a 5 livros","Livro físico;E-Book","Em casa;Transporte público","O preço deles.","Conhecimento, lazer, passa-tempo, entre outros.","Na escola",""
"2024/02/27 6:11:45 PM GMT-3","22 - 24 anos","Masculino","Ensino Superior Incompleto","Romance;Fantasia;Suspense;Ficção científica;História;Mangás ou Histórias em Quadrinhos","6 a 10 livros","Livro físico","Em casa","Distrações ","Me permitiu ter diferentes perspectivas sobre diferentes assuntos","Na escola","Incentivar a cultura da leitura, especialmente entre as crianças "
"2024/02/27 6:12:23 PM GMT-3","Mais de 25 anos","Feminino","Ensino Superior Completo ou Cursando","Fantasia;Suspense;Ficção científica","1 a 5 livros","Livro físico","Em casa;Locais públicos, como praças, cafeterias, ...;Transporte público","sair do celular/computador e separar um tempo só para leitura ","eu lia bastante quando era nova, entre os 14/20 anos, e me ajudou muito com expansão de vocabulário, oralidade e criatividade ","Em casa","melhorar a ventilação nos ambientes. "
"2024/02/27 6:13:29 PM GMT-3","17 - 21 anos","Masculino","Ensino Superior Completo ou Cursando","Ficção científica;História;Mangás ou Histórias em Quadrinhos","1 a 5 livros","Livro físico","Em casa;Locais públicos, como praças, cafeterias, ...;Ambiente escolar, como biblioteca, escola, faculdade, ...;Transporte público","Não gosto muito de ler o livro digital, não me dá ânimo pra ler","Autoconhecimento ","Em uma biblioteca pública",""
"2024/02/27 6:14:23 PM GMT-3","Mais de 25 anos","Masculino","Ensino Superior Incompleto","Romance;Fantasia;Suspense;Ficção científica;Mangás ou Histórias em Quadrinhos","1 a 5 livros","E-Book","Em casa;Transporte público","Tempo","Vocabulário, entendimento de mundo, imaginação, etc.","Em casa",""
"2024/02/27 6:17:03 PM GMT-3","Mais de 25 anos","Feminino","Ensino Médio Completo ou Cursando","Romance;Fantasia;Suspense;Ficção científica;Mangás ou Histórias em Quadrinhos","6 a 10 livros","Livro físico;E-Book","Em casa;Locais públicos, como praças, cafeterias, ...;Ambiente escolar, como biblioteca, escola, faculdade, ...;Transporte público","Atualmente, o preço se formos pensar nos meios legais","Além do aumento do aprendizado, vocabulário, é um entretenimento relaxante","Em casa","Ter maia meios de comunicação com os ""clientes"" e ofertar mais meios de empréstimo como livros digitais (em formatos bacanas como epub e kindle)"
"2024/02/27 6:24:57 PM GMT-3","Mais de 25 anos","Feminino","Ensino Superior Completo ou Cursando","Romance;Suspense;Ficção científica;Autoajuda","1 a 5 livros","E-Book","Em casa;Transporte público","Foco, tempo","Melhorou todos os aspectos, leitura , interpretação, imaginação e até raciocinio lógico ","Em casa","Facilidade para acessar o acervo, encontrar os livros procurados, localização das bibliotecas "
"2024/02/27 6:27:56 PM GMT-3","Mais de 25 anos","Feminino","Ensino Superior Incompleto","Romance;Suspense;Autoajuda","1 a 5 livros","Livro físico;E-Book","Em casa","Hoje em dia minha maior dificuldade é que preciso de um lugar com zero estímulo sonoro pra conseguir me concentrar na leitura","A leitura sempre fez parte da minha vida desde pequena nas leituras de gibis. Acho que realmente a leitura ajuda muito no desenvolvimento de vocabulário, gramática e conhecimento em geral.","Em casa","Descobri a BibliOn que é uma biblioteca online recentemente. Acho que falta divulgação nesse tipo de serviço. Com os preços de livros hoje em dia, é uma ótima opção pra quem gosta de ler. O estímulo a leitura é muito baixo, falta um pouco mais de incentivo e acessibilidade aos livros"
"2024/02/27 6:30:29 PM GMT-3","17 - 21 anos","Masculino","Ensino Superior Incompleto","Mangás ou Histórias em Quadrinhos;Autoficção, livro de contos","6 a 10 livros","E-Book","Em casa;Locais públicos, como praças, cafeterias, ...;Ambiente escolar, como biblioteca, escola, faculdade, ...;Transporte público;Ambiente de Trabalho","Distração, ambiente barulhento ","Entretenimento, foco, repertório ","Em casa",""
"2024/02/27 6:30:35 PM GMT-3","17 - 21 anos","Masculino","Ensino Superior Completo ou Cursando","Mangás ou Histórias em Quadrinhos","1 a 5 livros","E-Book","Em casa","Falta de tempo","Ajuda na escrita e criatividade","Na escola","Tentar ficar imerso na história e pensar como o protagonista ou algum outro personagem do livro "
"2024/02/27 6:41:53 PM GMT-3","22 - 24 anos","Masculino","Ensino Superior Completo ou Cursando","Romance;Fantasia;Suspense;Ficção científica;Mangás ou Histórias em Quadrinhos","1 a 5 livros","Livro físico;E-Book","Em casa;Transporte público","Tempo ","Conhecimento e diversão em histórias fantasiosas","Na escola",""
"2024/02/27 6:52:38 PM GMT-3","Mais de 25 anos","Masculino","Ensino Superior Completo ou Cursando","Romance;Suspense;História","1 a 5 livros","Livro físico","Em casa","Tempo","Contribuição com conhecimento.","Em casa","Ter mais bibliotecas,  pois as mesmas estão ficando escassas com a tecnologia."
"2024/02/27 7:10:12 PM GMT-3","22 - 24 anos","Feminino","Ensino Superior Completo ou Cursando","Romance;História;Filosofia","1 a 5 livros","Livro físico;E-Book","Em casa;Locais públicos, como praças, cafeterias, ...;Ambiente escolar, como biblioteca, escola, faculdade, ...;Transporte público;Ambiente de Trabalho","Falta de foco para terminar de ler e o preço dos livros, que geralmente são inacessíveis.","Contribuiu para exercitar meu pensamento, adquirir conhecimento sobre o que veio antes para entender o agora, compreender a mim mesma e a realidade em minha volta.","Em casa","Abertura de mais bibliotecas públicas, tornar o valor dos livros mais acessível, promover encontros de leitura (clube do livro) em bairros."
"2024/02/27 7:12:04 PM GMT-3","Mais de 25 anos","Feminino","Ensino Superior Completo ou Cursando","Romance;Suspense","1 a 5 livros","Livro físico","Em casa","Encontrar um título que me interesse","Ajuda a abrir a mente, adquirir conhecimentos ","Na escola","Maior diversidade de livros de diferentes gêneros "
"2024/02/27 7:16:20 PM GMT-3","17 - 21 anos","Masculino","Ensino Superior Completo ou Cursando","Ficção científica;Biografia","Nenhum","Livro físico","Em casa","Manter a atenção focada no livro.","Amplificação de conhecimentos gerais.","Em casa",""
"2024/02/27 7:23:29 PM GMT-3","Mais de 25 anos","Masculino","Ensino Superior Completo ou Cursando","Romance;Fantasia;Suspense;Ficção científica;História","Mais de 20 livros","Livro físico","Locais públicos, como praças, cafeterias, ...;Transporte público","Atualmente, a faculdade. Tem q ler os livros técnicos ","Melhora a escrita, aumenta horizontes","Em casa","Pra quem consegue, ler e adequar uma trilha sonora, eh uma experiência fantástica. Por ex: Dança da Morte do Stephen King combina com Iron Maiden, especialmente Hallowed By Thy Name. Depende do gosto do leitor e de como a história anda… conseguir essa adaptação/imersão, eh fantástico"
"2024/02/27 7:56:35 PM GMT-3","17 - 21 anos","Masculino","Ensino Superior Incompleto","Romance;Fantasia;Ficção científica;Mangás ou Histórias em Quadrinhos","1 a 5 livros","Livro físico","Em casa","Preço","Conhecimento e inspiração","Na escola","Abrir a biblioteca"
"2024/02/27 9:07:12 PM GMT-3","Mais de 25 anos","Masculino","Ensino Superior Incompleto","Fantasia;Suspense;Ficção científica;História;Mangás ou Histórias em Quadrinhos","1 a 5 livros","Smartphone ","Em casa;Locais públicos, como praças, cafeterias, ...;Ambiente escolar, como biblioteca, escola, faculdade, ...;Transporte público;Ambiente de Trabalho","Preço muito alto ","Ser um cidadão consciente livre de extremismo.","Em casa","Ampla divulgação e investimentos altos na educação para incentivar a importância da leitura."
"2024/02/27 10:13:27 PM GMT-3","17 - 21 anos","Feminino","Ensino Superior Completo ou Cursando","Romance;Fantasia","1 a 5 livros","E-Book","Em casa","tempo","melhora na concentração e mais paciência","Na escola",""
"2024/02/28 5:22:08 AM GMT-3","17 - 21 anos","Masculino","Ensino Superior Completo ou Cursando","Fantasia;Suspense","Mais de 20 livros","E-Book;Áudio book","Em casa;Transporte público","Ultimamente tem sido atenção, devido ao cansaço ela diminuiu bastante. E tempo para ler.","Esquecer dos problemas cotidianos.","Em casa","Impedir crente de pregar no transporte público já melhoraria bastante a experiência que grande parte da população brasileira que ainda tem vontade de ler tem com os livros. Quanto a bibliotecas, já morei em muitas cidades e apenas 2 tinham bibliotecas regulamentadas, então acho que é algo mais de realmente focar na distribuição delas pelo país. "
"2024/02/28 4:32:25 PM GMT-3","17 - 21 anos","Masculino","Ensino Superior Incompleto","Fantasia;Suspense;Ficção científica;História","6 a 10 livros","Livro físico","Em casa;Transporte público","Concentração, barulho, distração ","Conhecimento, interpretação de texto, aumento de vocabulário ","Na escola",""
"2024/02/28 5:09:21 PM GMT-3","Mais de 25 anos","Feminino","Ensino Superior Completo ou Cursando","Romance;Suspense;Biografia;História","6 a 10 livros","E-Book","Em casa","Disponibilidade ","Conhecimentos.","Na escola","Transformar a leitura em um hábito e fazer parte da rotina do dia a dia "
"2024/02/28 5:11:00 PM GMT-3","17 - 21 anos","Masculino","Ensino Médio Completo ou Cursando","Ficção científica","1 a 5 livros","Livro físico","Em casa;Ambiente de Trabalho","Falta de vontade, desânimo de ler, por não me interessar o suficiente no livro","Experiências e ensinamentos","Em uma biblioteca pública","Incentivar a leitura aos mais novos, desenvolvendo o hábito de ler
E ensinando a ter prazer com a leitura"
"2024/02/28 6:04:51 PM GMT-3","17 - 21 anos","Feminino","Ensino Médio Completo ou Cursando","Romance;Fantasia;Suspense;Ficção científica;História;Mangás ou Histórias em Quadrinhos","11 a 15 livros","E-Book","Em casa;Transporte público","Preguiça.","Felicidade.","Na escola",""
"2024/02/28 11:02:19 PM GMT-3","17 - 21 anos","Masculino","Ensino Superior Incompleto","Fantasia;Suspense","6 a 10 livros","Livro físico","Em casa","falta de tempo","conhecimento e melhora na escrita","Em casa",""
